headline,publication_date,contents,comments
NDC procured coffins as ambulances; appreciate Akufo-Addo – Lord Hamah tells Ablakwa,"Politics of Thursday,  1 August 2024","A former member of the National Democratic Congress (NDC), Lord Hamah, has questioned the rationale behind Samuel Okudzeto Ablakwa’s spirited fights against Nana Addo Dankwa Akufo-Addo’s purchase of proper ambulances for Ghana’s health sector.To him, progressives should focus on pressuring the President to do more for the country rather than fight against the betterment of the country.He argued that when the National Democratic Congress had the opportunity to procure ambulances for Ghana’s Health sector, they rather brought in coffins.Therefore, it does not make sense that such people would attack a forward-thinking president who seeks the well-being of the people.His Facebook post read, “I don’t get it. The NDC committed public funds for coffins.The government of NAADA brought in first-rate sophisticated ambulance services with trained personnel.What we must look at is that NAADA has done well, but progressives must hold the obligation to pressure him to do more.I will not celebrate the use of state funds to purchase mobile coffins disguised as ambulances”.Member of Parliament for North Tongu, Samuel Okudzeto Ablakwa, is in a spirited fight against the Presidency over the purchase of 307 ambulances for the country.He alleges corruption in the procurement of the ambulances, indicating that Serive Suto Limited, which is linked to the procurement of the Ambulances, have links to the daughters of the President.Okudzeto Ablakwa has since petitioned the Office of the Special Prosecutor to investigate the purchase of the Ambulances and the subsequent budget for spare parts for the ambulances.",Kwasia paa Nie.
Stringent monitoring controls established to sustain DRIP – Martin Korsah,"Politics of Thursday,  1 August 2024","The Minister for Local Government and Decentralization, Martin Adjei-Mensah Korsah, has said rigorous digital monitoring protocols have been implemented to ensure sustainability of the District Road Improvement Programme (DRIP).According to him, the measure is to also ensure utilising these tools properly.""Mr. President, the biggest threat I must say, there is to this project, is lack of proper maintenance and misuse, especially for private endeavours. Through the Programme, we have taken steps to train operators, drivers and technicians as part of the overall implementation of the maintenance protocols and to ensure successful implementation of DRIP.""We have established stringent monitoring controls both digitally and by a well-crafted team, made up of stakeholder ministries and would demand strict compliance. This is to ensure the sustainability of the Programme and the proper use of these equipment,"" he said, a report by myjoyonline.com said.The minister was speaking on Wednesday, July 31, 2024, at the Black Star Square, during the commissioning of a comprehensive fleet of 2,240 pieces of equipment, including motor graders, backhoes, rollers, wheel loaders, bulldozers, tipper trucks, concrete mixers, water tankers, and low beds.These machines are expected to play a crucial role in the nationwide improvement of road infrastructure.Martin Adjei Mensah-Korsah who is also the Member of Parliament for Techiman South MP, said commitment to the efficient operation of district assemblies is demonstrated by the District Road Improvement Programme initiative, which is unprecedented in Ghanaian history.He further recommended that Metropolitan, Municipal, and District Chief Executives (MMDCEs) follow the guidelines when using the equipment that is provided by the program.Martin Adjei-Mensah Korsah added that the staff operating the machines had received proper training in order to ensure the machines are used effectively and efficiently.KA/AE","We DESIGN and BUILD QUALITY Websites such as:- Business / cooperate websites- eCommerce/Online store Websites- Education/NGO/Church Websites- News/Blog/Media WebsitesPRICE: 1,500gh. Call/WhatsApp. 0501796870 for more info.    Usuebev"
NPP Nhyiaeso Constituency Chairman Joe Kad is dead,"Politics of Thursday,  1 August 2024","George Kofi Adjei, popularly known as Joe Kad, the long-servingNew Patriotic Party(NPP) chairman for the Nhyiaeso constituency in the Ashanti Region, has died.He passed away on Wednesday, July 31, 2024, at the University of Ghana Medical Centre (UGMC) after a week-long admission due to illness, Asaaseradio.com reports.Joe Kad, renowned for his long tenure as constituency chairman, has left many NPP faithful mourning his loss.Following the announcement of his death, tributes have started pouring in on social media from party members and supporters.NAY/OGB",He will die again
"Four influential figures who have blasted Dame after Ato Forson, Jakpa acquittal","Politics of Thursday,  1 August 2024","The Attorney-General, Godfred Dame, has faced backlash following the Court of Appeal's verdict in the controversial ambulance procurement case.On Tuesday, the Appeals Court acquitted and discharged Minority Leader Cassiel Ato Forson and businessman Richard Jakpa, who were accused of causing financial loss to the state in the procurement of ambulances.The criticism intensified after Godfred Dame described the Appeals Court’s judgment as ""perverse,"" ""grossly unfair,"" and ""erroneous.""Here are four notable figures who have lambasted him:1.John Dramani MahamaThe flagbearer of theNational Democratic Congress(NDC),John Dramani Mahamatook a swipe at Godfred Dame.Mahama accused Dame of acting like a legal representative of theNew Patriotic Partyrather than conducting himself as Minister of Justice and Attorney-General.“I think that this Attorney-General has been discredited enough. Anywhere in the world, with the things we have seen, the coaching of witnesses, and discussions with witnesses, this prosecution would have been struck out as malicious prosecution.“I believe this prosecution is malicious. He is not as robust and energetic in pursuing other cases. Even as we speak, there is an ambulance case involving this present administration which is hugely larger than what he is prosecuting, and yet he has no interest in that.”“He is like a legal representative of the NPP party, over-enthusiastic in pursuing political opponents. I have said that when we come it will be the reverse, we will pursue accountability for the regime that has gone out but at the same time if any of our people are involved in the same things that has happened, for which we are prosecuting the previous government, we will prosecute them too.“So I think that the A-G is also the Minister of Justice, he forgets that, he thinks he is just the A-G,” Mahama said in an interview with TV3 as quoted by 3news.com.2.Sammy GyamfiThe NDC’s National Communication Officer accused Dame of pursuing political goals rather than justice.He labeled Dame as the ‘worst AG’ in the history of Ghana, highlighting his cautioning by the trial court to stay away from a matter he was prosecuting, calling it a “disgraceful” moment for the Attorney-General.“To further prove the malice of Godfred Dame in this whole matter is the fact that he didn’t have the decency and the patience to wait for the ruling of the Court of Appeal before issuing that ‘useless’ press statement.“So, at the time he was describing the decision as inimical to the national interest, he didn’t even have the benefit of reasoning that went into the court of appeal’s decision,” citinewsoroom.com quoted him to have said.3.Saviour Kudze (GBA PRO)The Public Relations Officer of the Ghana Bar Association (GBA), Saviour Kudze, criticized the Minister of Justice's choice of words.He questioned whether Dame would have used such language if the decision had been in his favour.“Assuming the decisions were made in his favour, would he be using such words? He [Attorney-General] is the leader of the Bar. We shouldn’t expect him to be using such words.“You could say you disagree with the verdict of the court and you will take steps. I think that is what everybody does. But an official leader using such words, we take an exception to it,” Kudze said.4.Felix Ofosu KwakyeFelix Ofosu Kwakye, a former Deputy Minister of Communications, also criticized Godfred Dame.In a social media post, he accused the minister stating, “Godfred Dame's wickedness suffers a crushing blow and the Minority Leader stands a free man!”Godfred Dame's wickedness suffers a crushing blow and the Minority Leader stands a free man!pic.twitter.com/kAtAz24CJq— Felix Kwakye Ofosu (@FelixKwakyeOfo1)July 30, 2024AM/EKWatch the latest episode of Everyday People on GhanaWeb TV below:",God forbid that I will ever encourage even my enemies (I don't know who hates me though) to name their children after such a character called Godfred Dame. A supposed Attorney General and Minister of Justice who has abandoned his Justice for all roles and pursuing opposition 24/7 in various courts across the country
"Vanderpuye Instead of Bannerman, Mahama as Vice: Two times Akufo-Addo committed comical gaffes","Politics of Thursday,  1 August 2024","PresidentNana Addo Dankwa Akufo-Addohas made notable gaffes on two separate occasions that caught public attention.Both instances drew laughter from the audience, and the President apologized for his mistakes afterwards.During a rally at Mantse Agbonaa in December 2020, President Akufo-Addo mistakenly introduced theNew Patriotic Party's (NPP) parliamentary candidate for Odododiodio as Nii Lante Vanderpuye, theNational Democratic Congress(NDC) candidate, instead of Nii Lante Bannerman.The president's slip of the tongue occurred as he held Bannerman's hand and addressed the crowd.“In Odododiodio, if you are voting for me, then you are also voting for Nii Lante Vanderpuye,” the president said, prompting laughter and confusion among the audience.Realizing his mistake, President Akufo-Addo quickly corrected himself, apologizing and urging the crowd to support Bannerman. “I didn’t speak well at all. I have made a mistake. What am I going to do with Nii Lante Vanderpuye? I meant Nii Lante Bannerman, and I want you all to vote for him,” he said, as the crowd cheered and applauded.In another instance, President Akufo-Addo misspoke during the launch of the District Road Improvement Programme (DRIP), on July 31, 2024, in Accra.While touting his administration's achievements in the road sector, the president mistakenly referred to his government as the ""Akufo-Addo-Mahama era"" instead of the ""Akufo-Addo-Bawumia era.""“We've witnessed an extraordinary expansion and improvement in our road network throughout the country. From 2009 to 2016, during the Mills-Mahama era, our nation completed 4,636 roads and five interchanges and overpasses.“ However, since January 2017 till date, i.e., the Akufo-Addo-Mahama era,” he said, before quickly correcting himself amid reactions from the audience.“That’s unforgivable. That’s unforgivable. I hope you will allow me to withdraw that statement; The Akufo-Addo-Bawumia era.”TWI NEWSAM/EKWatch the latest episode of Everyday People on GhanaWeb TV below:",Vanderpuye won so will Mahama
Mahama fulfilled only 77 of 280 promises he made as President - 2012 NDC Manifesto reveals,"Politics of Thursday,  1 August 2024","A detailed analysis of former President Mahama's 2012 Manifesto reveals a startling percentage of unfulfilled promises by the end of his term as President in January 2017.Mahama narrowly won the 2012 elections, which were later challenged at the Supreme Court by the New Patriotic Party.He became theNational Democratic Congress’ flagbearer for the 2012 election after completing the full term of the late Ex-President Evans Atta Mills.As flagbearer, Mahama ran a lavish campaign full of juicy promises under the theme “Advancing the Better Ghana Agenda,” with the tagline “e dey beee kɛkɛ” (to wit “it is too sweet”).After winning the elections, expectations of Ghanaians were unsurprisingly high following the promises made.However, Mahama's administration was plagued by a myriad of problems, including a serious economic downturn, youth unemployment, and an unprecedented 4-year energy crisis, which brought about the infamous word “dumsor,” a situation that crippled the growth of businesses.As a result, Mahama and the NDC lost the 2016 elections to the New Patriotic Party led by President Nana Addo Dankwa Akufo-Addo.President Akufo-Addo beat Mahama by the biggest margin under the 4th Republic, with many Ghanaians describing Mahama as “incompetent” and full of deceptive promises.However, former President Mahama has made a comeback into the presidential race, bringing heat upon himself and his party.Mahama has come under intense scrutiny regarding his integrity to fulfill his promises since he and the NDC failed abysmally between 2012 and 2017, especially as he comes up with new promises following the launch of his 2024 Campaign on Saturday, July 27, at Tamale Jubilee Park.With many people doubting Mahama’s integrity, data available and shared with the public strikingly reveals how the economy cannot be entrusted into his hands again. According to the verifiable data, Mahama fulfilled only 28% of his major promises in the 2012 NDC Manifesto.The data shows Mahama made as many as 280 promises, out of which only 77 were delivered, representing a paltry 28%. This means that Mahama, after being elected into office in 2012, did not fulfill a whopping 203 promises he made to Ghanaians, representing 68% of the unfulfilled promises.Out of the 203, 46 of those promises were major promises that dominated the 2012 elections in areas such as management of the economy, infrastructure, education, social intervention, industrialization, northern development, taxation, youth employment, among others.Interestingly, many of these promises were also repeated at the 2012 IEA presidential debate.Below is the entire list of the 280 (both unfulfilled and fulfilled) campaign promises by Mahama:TWI NEWS","I HAVE A DEAD GOAT SYNDROME, I AM NOT MAGICIAN TO COMMAND YOU JOBS.I WILL NEVER RESTORE TEACHERS AND NURSES TRAINEES ALLOWANCES. THESE WERE THE WORDS OF JOHN MAHAMA IN 2016."
2024 elections will certainly test the strength of our democracy – Kan Dapaah,"Politics of Thursday,  1 August 2024","The Minister for National Security, Albert Kan Dapaah, has emphasized the need for stakeholders in the upcoming December 7 presidential and parliamentary elections to commit to maintaining peace and stability during the electoral process.He recounted how past instances of violence had nearly torn the nation apart and called on political parties and others to commit to peace.The minister warned of a looming threat of electoral violence as the country prepares for the 2024 general elections.He raised these concerns while addressing a gathering at the Ghana Catholic Bishops Conference held under the theme ‘SPI National Forum on Social Cohesion, Security, and Peaceful Elections’ in Accra.“Internally and coming home to Ghana, we continue to be confronted with the threat of electoral violence which has in the past threatened to destroy our country,” he said.According to him, we don’t have to underestimate the threats, stressing that it could compromise the integrity of our democracy, even though Ghana has traditionally been proud of its peaceful transfers of power between the two main political parties.“Yes, we have succeeded as a country in ensuring a transition of power from one political party to another on modernisation,” he said.“The 2024 general elections will certainly test the strength of our democracy. Given the high stakes involved, where the two major political parties appear convinced about their prospects of emerging victorious. That obviously creates a security challenge for me where I sit.”",The solution is simply “Free and Fair Elections”! Period! No one is going to sit down for the elections to be stolen this time.
December Elections: Trust in Alan Kyerematen’s vision for Ghana – Wife to electorate,"Politics of Thursday,  1 August 2024","Madam Patricia Kyerematen, wife of the leader of the Movement for Change and independent presidential hopeful for the December 2024 general elections, is urging the electorate to place their trust in her husband,Alan Kyerematen, and his Great Transformation Programme (GTP).Mrs. Kyerematen made this appeal on behalf of Mr. Kyerematen during her maiden visit to Santana Market in the Greater Accra Region on Wednesday, July 31, 2024, as part of her measures to urge the electorate to accept her husband’s vision for Ghana.According to Patricia Kyerematen, Mr.Alan Kyerematenis competent in delivering on his promises.She emphasized that he is committed to alleviating the suffering of Ghanaians through his transformative vision for the country.She argued that Mr.Alan Kyerematenis well-equipped to free Ghana from the economic difficulties that have plagued the nation, which she attributed to the misgovernance of the two leading political parties, the National Democratic Congress (NDC) and the New Patriotic Party (NPP).She pointed out that these two parties have left Ghanaians disillusioned over the past thirty-two years, stressing the need for the electorate to change their voting patterns in the December 7 polls.Mrs. Patricia Kyerematen assured that Mr.Alan Kyerematenwould be truthful with the people of Ghana if elected in the upcoming general elections.She also highlighted that Mr.Alan Kyerematenis the only candidate with a vision capable of eliminating the widespread youth unemployment that has plagued the country.She called on Ghanaians to believe in his competence and vision for a better future.","Hmmm, nobody is willing to comment mpo"
Bawumia to light the flame in 'Mega Ofie Walk',"Politics of Thursday,  1 August 2024","Dr. Mahamudu Bawumia, the Presidential Candidate of theNew Patriotic Party(NPP) and Vice President of the Republic of Ghana, will light the flame to charge party faithful and sympathizers within the Akuapim North constituency to break the eight-year governance cycle with a walk dubbed “The Mega Ofie Walk.”The walk aims to energize and mobilize party faithful and supporters, galvanizing them for a vigorous political campaign.The event, scheduled for Saturday, August 3, 2024, is expected to draw over 5,000 participants and will be spearheaded by Samuel Awuku, the parliamentary candidate for Akuapim North and Director General of the National Lottery Authority. The 6-kilometer walk will start at Manfe and end at Mampong Coronation Park.This walk will also serve as the launch event for Samuel Awuku’s campaign, highlighting the NPP’s strategy to secure a decisive advantage over the NDC in the constituency.Dr. Bawumia, along with other prominent NPP figures such as Kennedy Ohene Agyapong, Justin Frimpong Kodua, Henry Nana Boakye, Eric Nana Agyemang Prempeh, Kwabena Agyepong, Nana Akomea, and Anthony Karbo, will be in attendance. The Eastern regional party chairman and his executives, as well as constituency executives across the region, will also be present.In addition to the political rally, the event will feature performances by renowned musicians including Guru, Edem, Praye, and Andy Dosty, with Asamoah Gyan, former captain of the Black Stars, also making an appearance.Dr. Bawumia is expected to address the crowd, emphasizing the importance of continuing with the NPP government to build on its achievements. The event aims to rally and mobilize voters in preparation for the upcoming elections.",I say eh........ The number of people who will vote for Bawumia will determine the number of lunatics we have in Ghana.Following heehawing and neighing clown is even worse. It's the height of insanity.
'Have your head examined if you believe a family will document its evil plans' - Gabby reacts to Agyapadie document?,"Politics of Wednesday, 31 July 2024","New Patriotic Party(NPP) stalwartGabby Asare Otchere-Darkoappears to have reacted to the widely circulated Agyapadie document, a supposed master plan of the Akyem faction of the rulingNew Patriotic Party(NPP).The 38-page document, which had no recognized author, featured the Okyenhene, Osagyefo Amoatia Ofori Panin, on the cover photo, and President Nana Addo Dankwa Akufo-Addo and his father Akufo-Addo on the following page.The book is essentially the Bible of a supposed plot for total state capture by some powerful persons of Akyem descent, with the sole aim of establishing the Akyem kingdom as the most powerful in the country.In a post shared on Facebook on Wednesday, July 31, 2024, Gabby could not comprehend why people would believe a supposed evil plan by a family which would broadly bear the image of the family head.He suggested that any person who believes such a document should seek psychological help.“If you believe a family will document its alleged evil plans against the very village they proudly live in, document it in revised copies of a book with a portrait of the head of the family boldly on its front cover, then please have your head examined.”In a subsequent post, the NPP stalwart and cousin to President Akufo-Addo indicated that wild and unsubstantial allegations have become common in Ghana’s political landscape.He said similar allegations were made against someone he referred to as K4 (possibly former President John Agyekum Kufuor), who was accused of stealing all of the country’s good resources.“It’s not new. They accused K4 falsely of stealing all of Ghana’s gold; distributed photocopies of fake bank accounts of K4’s ministers with crazy amounts which combined were bigger than Ghana’s GDP! Yes!”About the Agyapadie document:The document, which was forwarded to the Okyenhene Ofori Panin, contained plans of the Akyem faction to keep hold of the NPP.In its ‘Table of Contents,’ the book breaks down the various aspects of Ghanaian life that the cabal, dubbed the ‘Akyem Mafia,’ intended to control, making the rest of the country acquiescent to the dictates of the selected Akyem.From chieftaincy to the economy to politics and all aspects of Ghanaian society, the book outlines a detailed plan by the supposed Akyems to establish total dominance and ensure that the running of the country is done at their beck and call.The book predicts key happenings in the country, including changes in leadership at the Social Security and National Insurance Trust, the collapse of indigenous Ghanaian banks and financial institutions, and the deliberate and conscious positioning of the Okyenhene as the most powerful chieftaincy institution in the country, among others.In the religious sphere, certain powerful and popular men of God who were deemed opponents of the regime were going to be targeted and destroyed, while those believed to be in favour of the government were going to be supported.Why the document is back in the news now:Owing to the goodwill that Nana Addo Dankwa Akufo-Addo enjoyed then and the timing of the release, which coincided with the elections, the document was outrightly rejected as many believed it was a propaganda tool.However, happenings in the first term of the Akufo-Addo administration and recent events have reignited conversations around the document, with most people forming conspiracies about the authenticity of the book.Okyenhene’s reaction:While officialdom has remained silent on the book and treated it with contempt, the Okyenhene has been compelled to rubbish its relevance following recent claims by some persons, particularly members of the opposition National Democratic Congress.""We saw this during the period of J.B. Danquah, and we’re seeing this now. In and around October 2016, about a few months before the election, the same document known as the ‘Akyem Project’ was in circulation. The focus of that was to fan hatred between Okyeman and Asanteman to undermine the electoral efforts of Nana Akufo-Addo. Unfortunately for them, it came too late to the election.""""This diabolic plan was revised in 2019. In the year 2020, when the Agyapa business became a political issue, the book suddenly metamorphosed into ‘Agyapadie,’"" Okyenhene noted in a State Council meeting at Kyebi.“Many kingdoms have seen greater development over the years, but some people always have issues whenever the government decides to bring development to Okyeman. I have heard things in recent times. The funniest of it is that I am the richest chief in Ghana. I mean, how? Anyway, when anyone regards you as a rich person, you must receive it. I received it,” Okyenhene said with a smile.Arthur Kennedy believes in the conspiracies:Dr. Arthur Kennedy, a leading member of the NPP, holds a divergent view to that of Okyenhene as he believes in the content of the book.“That is all part of the state capture, and the whole Agyapadie document is a blueprint for state capture,” he stressed.“The problem we have in our country is that there are a lot of people in our public space and governments whose sole purpose, regardless of the policy initiative, is to figure out how to milk the public space and transfer public resources into private hands for it to become private wealth. That is why there is so much incompetence,” he said on JoyNews on Saturday, July 26, 2024.BAI/Watch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.","You can tickle your own self, FOOL."
Watch Akufo-Addo's reaction after mistakenly referring to his administration as 'Akufo-Addo and Mahama government',"Politics of Wednesday, 31 July 2024","PresidentNana Addo Dankwa Akufo-Addowas forced to ‘retract’ a statement he made at the launch of the District Road Improvement Programme (DRIP), a nationwide initiative to improve road conditions in all 275 constituencies.The president, as he was touting the performance of his government in the road sector, mistakenly mentioned former PresidentJohn Dramani Mahamainstead of his vice,Dr. Mahamudu Bawumia.“We've witnessed an extraordinary expansion and improvement in our road network throughout the country. From 2009 to 2016, that is the Mills-Mahama era, our nation completed 4,636 roads and five interchanges and overpasses. However, since January 2017 till date, i.e. the Akufo-Addo-Mahama era,” he said.The president tried correcting his mistake, but before then many in the audience  reacted with an “Eiiii”.The president could be seen covering his mouth, after which he said:“That’s unforgivable. That’s unforgivable. I hope you will allow me to withdraw that statement; The Akufo-Addo-Bawumia era.”About the DRIP:Led by the Ministry of Local Government, Decentralisation and Rural Development, DRIP will address the Ministry of National Security's concerns about poor road conditions being a significant national security threat.At a colourful ceremony at Independence Square on Wednesday, July 31, 2024, President Akufo-Addo commissioned 2,240 units of state-of-the-art road equipment, marking a major boost to the country's road infrastructure.The equipment included a diverse fleet of trucks and equipment, including water tankers, backhoes, motor graders, rollers, tipper trucks, concrete mixers, and bulldozers.The equipment were acquired through a Ghana-China collaboration and was distributed to all Metropolitan, Municipal, and District Assemblies (MMDAs).President Akufo-Addo emphasized his government’s commitment to decentralising development and transforming road networks across Ghana while acknowledging the progress made and the need for more to be done.President Akufo-Addo thanked China for their partnership, aiming to improve Ghanaians’ lives. He assured the nation that his government remains dedicated to improving road infrastructure, promoting connectivity, and driving prosperity.Watch Akufo-Addo’s reaction in the video below:District Road Infrastructure Program: Akufo-Addo mistakenly called his government the ""Akufo-Addo and Mahama government"" instead of ""Akufo-Addo and Bawumia.#ElectionHQpic.twitter.com/mNnlLnUGGf— JoyNews (@JoyNewsOnTV)July 31, 2024BAI/ADGWatch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.",God is talking. You have really disappointed this country. Shame on you and your government.
EC to begin 3-day mop up registration exercise on August 1,"Politics of Wednesday, 31 July 2024","The Electoral Commission (EC) will from Thursday, August 1 to Saturday, August 3, 2024, conduct a mop-up voter registration exercise at all its 268 district offices across the country.The exercise, which is also expected to take place in 26 public universities and 41 prison centres, will begin from 7 AM to 6 PM each day.The exercise will be conducted online as well.Speaking at a press briefing in Accra on Monday, the Deputy Chairperson in Charge of Operations of the EC, Samuel Tettey, said the move was to give opportunity for individuals who just turned 18 years old to exercise their franchise during the December 7 general elections.He indicated that eligible applicants were expected to use their Ghana card or passports, which were the required documents to ensure eligibility to register.Mr. Tettey further indicated that already registered voters could guarantee for ten persons.However, he said that registered voters could only guarantee for ten persons, adding that “newly registered voters are not qualified to guarantee for anyone.”He stressed that the registration process was only open to Ghanaian residents or those residing within the districts.Political parties, Mr. Tettey said, “are allowed to send their agents to observe the registration process, but must educate their members on how to conduct themselves at the registration centres.”According to him, the police had been informed of the exercise and would provide adequate security at the registration centres.He urged the applicants to conduct themselves properly during the registration process.Mr. Tettey also advised parents not to allow their children below 18 years to attempt registering, adding that the registration process was for only those who had not yet registered.He noted that the exhibition of the voter register would take place from August 20 to August 27 after the mop-up exercise to allow all registered voters to check whether their names had been captured in the voters register.The EC, Mr. Tettey said, has had an intensive engagement with MTN Ghana for assured internet connectivity and explained that in case of internet challenges, it would resort to the manual registration process.He urged all political parties to be abreast with the rules of the registration process in order to have a credit and transparent voter register to ensure a peaceful election in December this year.He indicated that so far, a provisional figure of 18,681,366 eligible voters had been captured in the voter register and was expecting 50,000 to 70,000 eligible voters to register during the mop-up exercise.","We DESIGN and BUILD QUALITY Websites such as:- Business / cooperate websites- eCommerce/Online store Websites- Education/NGO/Church Websites- News/Blog/Media WebsitesPRICE: 1,500gh. Call/WhatsApp. 0501796870 for more info.  DFGFDRET"
We must first put nationalism before partisan politics - Kwaku Kwarteng,"Politics of Wednesday, 31 July 2024","The Member of Parliament (MP) for Obuasi West,Kwaku Kwarteng, has emphasized the importance of political leaders prioritizing Ghana's development.During an interview on Tuesday, July 30, 2024, he expressed his concerns about the current political climate in the country.He noted that people often support the actions of political parties, regardless of whether they are right or wrong.Kwarteng highlighted that nationalism should be a fundamental principle for all political leaders.""Being nationalistic and advocating for the future of the country is also politics, and that's how I believe politics should be. What we often refer to as politics is not necessarily what politics should be,"" Kwarteng is quoted as saying by citinewsroom.com.He pointed out that the current state of Ghana is not solely due to the actions or inactions of the current government but rather a result of the historically incorrect path the country has been on, especially in terms of managing the economy.Kwarteng concluded by saying, ""I think we have reached a point where we all need to ask ourselves if we want a country or if we want politics.""JKB/MAWatch the latest episode of Everyday People on GhanaWeb TV below:",why is this news without an example to concretise his point?
Keep same praises for the judiciary if the Supreme Court reverses ruling by Court of Appeal - Nana B to NDC,"Politics of Wednesday, 31 July 2024","The New Patriotic Party’s National Organiser, Henry Nana Boakye, has cautioned the opposition National Democratic Congress to respect the decisions of the Supreme Court, if they were to reverse the ruling by the Court of Appeal to acquit Dr. Cassiel Ato Forson.In a post on his Facebook page on July 31, Henry Nana Boakye also known as Nana B, opined that the NDC and its flagbearer, John Dramani Mahama, should emulate the ruling party’s decision to accept the court verdict in good faith despite its reservations and not “bastardise” the judiciary if things don’t go in their favour.“Suddenly, John Mahama and the NDC are singing the praises of the judiciary they have bastardised and maligned for several years. Suddenly, the rule of law is at work because they have won. Suddenly, the court is no longer an appendage of government. Suddenly, the judges appointed by Akufo-Addo are not partisan.“The double standards of the NDC are regrettable and does not bode well for our democracy. While the AG disagree with the decision of the Court, we accept it in good faith and hope Mr. Mahama and the NDC do not change their chorus should the decision of the Court of Appeal be reversed by the Supreme Court,” he wrote.The Court of Appeal on Tuesday, July 30, acquitted and discharged the Minority Leader, Dr. Cassiel Ato Forson, and businessman Richard Jakpa, a third accused in the ambulance procurement trial in a split 2-1 decision.The court granted the motion of no case filed by Minority Leader Ato Forson and businessman Richard Jakpa, following a previous order requiring the two accused persons to open their defense.The two accused were standing trial for allegedly causing a financial loss of €2.37 million to the State in a deal to purchase 200 ambulances for the country between 2014 and 2016.Read Nana B’s post below:MAG/NOQ",Dame said perverse judgement by appeal court.  Is this not bastardisation of judiciary?
Akufo-Addo can’t decide who he will hand over power to - Mahama,"Politics of Wednesday, 31 July 2024","The Flagbearer of the National Democratic Congress (NDC),John Dramani Mahama, has said that PresidentNana Addo Dankwa Akufo-Addocannot decide who he will hand over power to after the 2024 general elections.John Mahama was speaking to the Central Regional House of Chiefs on Tuesday, July 30, after introducing his running mate, Prof Jane Naana Opoku-Agyemang, when he made the comments, as reported by myjoyonline.com.He explained that the president would have no alternative but to hand over to him if he wins the 2024 general elections.John Mahama stated that it is not within President Akufo-Addo's authority to determine his successor, adding that power would be handed over to whoever the people of Ghana elects as president.“Please tell [President Akufo-Addo], it is not in his mouth to determine who he will hand over to.“He should just promise that when the elections are held, whoever wins, he will hand over, but you can’t say you won’t hand over to John Mahama if the people of Ghana say John Mahama is who they want and they elect me, you will have to hand over to me,"" he said.This follows recent comments by the president that he cannot hand over power to the former president.Akufo-Addo, while addressing the chiefs and people of Wa, indicated that his successor would not be his predecessor, John Mahama, whom he had 'removed' from office.“Before the election is held, I am going to come here and pay my proper goodbye to you and thank you for the cooperation that I received from you when I was president. God willing, when I come, I will come with the man who is going to be my successor. Wa Naa, you know that the man I removed from the seat, I cannot have him as my successor and as a traditional ruler, you understand what I am saying,” he said.President Akufo-Addo added that he would return to the area with Dr. Mahamudu Bawumia, the New Patriotic Party’s flagbearer, as his successor.“Our country is known as the pacesetter for democratic governance across the entire continent of Africa. I want to assure you that this year, we are going to maintain that reputation. But I need your support and cooperation,"" he added.ButJohn Dramani Mahamahas stressed his belief in the power of the people's vote and his readiness to assume leadership if elected.JKB/AEWatch the latest episode of Everyday People on GhanaWeb TV below:",Discerning Ghanaians are going to decide who Akuffo Addo shd handover power to and definitely it WILL NOT be you John Dramani Mahama.
My government has developed more roads than any other in our history – Akufo-Addo,"Politics of Wednesday, 31 July 2024","Ghana’s President, Nana Addo Dankwa Akufo Addo, has touted his government’s achievements in road infrastructure over his administration's seven years in political office.According to him, Ghanaians have witnessed significant improvements in the country’s road networks under his government, a feat his predecessors were unable to attain.President Nana Akufo-Addo made this known during the launch of the District Road Improvement Programme (DRIP) in Accra on Wednesday, July 31, 2024.“From 2009 to 2016, that is the Mills/Mahama era, our nation completed 4,636 km of road and five interchanges and overpasses.""However, since January 2017 to date, that is the Akufo-Addo/Bawumia era, we’ve witnessed exceptional improvements in our road networks nationwide,” the president noted.President Akufo-Addo further stated that his government has embarked on several projects including rehabilitation and reconstruction of roads that have significantly contributed to the quality of life of Ghanaians, boosted the economy and enhanced connectivity.“We have successfully completed a total of 12,830 km of roads across the country and added six more interchanges. These accomplishments including asphalt overlays 1,936.48 km, new constructions 659.81 km, gravelling/re-gravelling - 6,529.82 km; reconstruction and partial reconstructions- 374.95km; rehabilitations - 1,271.90 km; re-ceiling 108.24km; surfacing 1,948.76 km and key bridge construction 35,” he elaborated.Reaffirming his commitment, PresidentNana Addo Dankwa Akufo-Addostated that five new interchanges will be completed and commissioned by the end of the year.He also indicated that an additional 5 interchanges will commence in 2025.MAG/AE","Nana, remember that NDC members and supporters do not ""EAT"" roads rather they sniff Mahama's urine meaning, good roads mean nothing to them. Good roads in a country are similar to veins in our bodies. If our veins are not clogged, blood runs through our bodies keeping us moving likewise good roads in a country, it speeds up the movement of goods and services."
